num_compte;departement;nom;statut;superficie;population
0;ALIBORI;BANIKOARA;INTERMEDIAIRE;4613.99;246575
0;ALIBORI;GOGOUNOU;ORDINAIRE;3802.92;117523
0;ALIBORI;KANDI;INTERMEDIAIRE;3781.85;179290
0;ALIBORI;KARIMAMA;ORDINAIRE;6005.81;66353
0;ALIBORI;MALANVILLE;INTERMEDIAIRE;3239.35;168641
0;ALIBORI;SEGBANA;ORDINAIRE;4435.1;89081
0;ATACORA;BOUKOUMBE;ORDINAIRE;995.29;82450
0;ATACORA;COBLY;ORDINAIRE;890.1;67603
0;ATACORA;KEROU;ORDINAIRE;4392.39;100197
0;ATACORA;KOUANDE;ORDINAIRE;3365.84;111540
0;ATACORA;MATERI;ORDINAIRE;1653.77;113958
0;ATACORA;NATITINGOU;INTERMEDIAIRE;1469;103843
0;ATACORA;OUASSA-PEHUNCO;ORDINAIRE;1918.97;78217
0;ATACORA;TANGUIETA;ORDINAIRE;5578.55;74675
0;ATACORA;TOUKOUNTOUNA;ORDINAIRE;1044.83;39779
0;ATLANTIQUE;ABOMEY-CALAVI;PARTICULIER;495.13;656358
0;ATLANTIQUE;ALLADA;INTERMEDIAIRE;418.84;127512
0;ATLANTIQUE;KPOMASSE;ORDINAIRE;317.07;162034
0;ATLANTIQUE;OUIDAH;INTERMEDIAIRE;348.57;162034
0;ATLANTIQUE;SO-AVA;ORDINAIRE;206.78;118547
0;ATLANTIQUE;TOFFO;ORDINAIRE;480.16;101585
0;ATLANTIQUE;TORI-BOSSITO;ORDINAIRE;293.98;162034
0;ATLANTIQUE;ZE;ORDINAIRE;568.81;106913
0;BORGOU;BEMBEREKE;INTERMEDIAIRE;2955.56;131255
0;BORGOU;KALALE;ORDINAIRE;4324.59;168882
0;BORGOU;N'DALI;ORDINAIRE;3784.58;113604
0;BORGOU;NIKKI;INTERMEDIAIRE;2971.32;151232
0;BORGOU;PARAKOU;PARTICULIER;607.23;255478
0;BORGOU;PERERE;ORDINAIRE;2070.35;78988
0;BORGOU;SINENDE;ORDINAIRE;2492.48;91672
0;BORGOU;TCHAOUROU;INTERMEDIAIRE;6015.86;223138
0;COLLINES;BANTE;ORDINAIRE;2550.8;107181
0;COLLINES;DASSA-ZOUME;INTERMEDIAIRE;1752.93;112122
0;COLLINES;GLAZOUE;ORDINAIRE;1780.18;124431
0;COLLINES;OUESSE;ORDINAIRE;2823.88;142017
0;COLLINES;SAVALOU;INTERMEDIAIRE;2660;144549
0;COLLINES;SAVE;ORDINAIRE;2166.43;87177
0;COUFFO;APLAHOUE;INTERMEDIAIRE;997.26;171109
0;COUFFO;DJAKOTOMEY;ORDINAIRE;233.67;134028
0;COUFFO;DOGBO;ORDINAIRE;278.34;103057
0;COUFFO;KLOUEKANMEY;ORDINAIRE;347.68;128597
0;COUFFO;LALO;ORDINAIRE;360.54;119926
0;COUFFO;TOVIKLIN;ORDINAIRE;122.77;88611
0;DONGA;BASSILA;ORDINAIRE;6109.81;130091
0;DONGA;COPARGO;ORDINAIRE;950.1;70938
0;DONGA;DJOUGOU;INTERMEDIAIRE;4207.47;267812
0;DONGA;OUAKE;ORDINAIRE;640.34;74289
0;LITTORAL;COTONOU;PARTICULIER;82.48;679012
0;MONO;ATHIEME;ORDINAIRE;242.68;56483
0;MONO;BOPA;ORDINAIRE;467.1;96281
0;MONO;COME;ORDINAIRE;175.07;79989
0;MONO;GRAND-POPO;ORDINAIRE;271.46;57636
0;MONO;HOUEYOGBE;ORDINAIRE;298.9;101893
0;MONO;LOKOSSA;INTERMEDIAIRE;275.19;104961
0;OUEME;ADJARRA;ORDINAIRE;59.17;97424
0;OUEME;ADJOHOUN;ORDINAIRE;296.06;75323
0;OUEME;AGUEGUES;ORDINAIRE;103.34;44562
0;OUEME;AKPRO-MISSERETE;ORDINAIRE;95.69;127249
0;OUEME;AVRANKOU;ORDINAIRE;89.79;128050
0;OUEME;BONOU;ORDINAIRE;223.11;44349
0;OUEME;DANGBO;ORDINAIRE;168.75;96426
0;OUEME;PORTO-NOVO;PARTICULIER;52.42;264320
0;OUEME;SEME-PODJI;INTERMEDIAIRE;229.22;679012
0;PLATEAU;ADJA-OUERE;ORDINAIRE;473.41;116282
0;PLATEAU;IFANGNI;ORDINAIRE;184.92;110973
0;PLATEAU;KETOU;INTERMEDIAIRE;1818.51;157352
0;PLATEAU;POBE;INTERMEDIAIRE;441.43;123677
0;PLATEAU;SAKETE;ORDINAIRE;468.76;114088
0;ZOU;ABOMEY;INTERMEDIAIRE;242.19;92266
0;ZOU;AGBANGNIZOUN;ORDINAIRE;274.21;72549
0;ZOU;BOHICON;INTERMEDIAIRE;152.28;171781
0;ZOU;COVE;ORDINAIRE;220.86;51247
0;ZOU;DJIDJA;ORDINAIRE;2143.04;123542
0;ZOU;OUINHI;ORDINAIRE;327.3;59381
0;ZOU;ZAGNANADO;ORDINAIRE;795.38;55061
0;ZOU;ZA-KPOTA;ORDINAIRE;474.67;132818
0;ZOU;ZOGBODOMEY;ORDINAIRE;823.19;92935
